id,date_of_acquisition,isi_experiment_id,published_at,specimen_id,session_type,age_in_days,sex,genotype,has_nwb,Analysed
797828357,2019-01-08T21:26:13Z,787643635,2019-10-03T00:00:00Z,776061251,brain_observatory_1.1,107,M,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,TRUE,TRUE
798911424,2018-12-21T08:02:57Z,785726931,2019-10-03T00:00:00Z,775876828,brain_observatory_1.1,110,F,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,TRUE,TRUE
799864342,2019-01-08T21:26:07Z,785352181,2019-10-03T00:00:00Z,772616823,brain_observatory_1.1,129,M,wt/wt,TRUE,TRUE
816200189,2019-02-01T22:58:03Z,803035425,2019-10-03T00:00:00Z,791857608,functional_connectivity,128,F,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,TRUE,TRUE
819186360,2019-02-08T09:02:25Z,809373390,2019-10-03T00:00:00Z,800249587,functional_connectivity,128,F,wt/wt,TRUE,TRUE
819701982,2019-02-08T13:38:23Z,809374181,2019-10-03T00:00:00Z,795770036,functional_connectivity,135,F,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,TRUE,TRUE
821695405,2019-02-14T09:55:24Z,809322463,2019-10-03T00:00:00Z,800250057,functional_connectivity,134,F,wt/wt,TRUE,TRUE
829720705,2019-03-05T08:59:34Z,819078093,2019-10-03T00:00:00Z,811322619,functional_connectivity,112,M,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,TRUE,FALSE
831882777,2019-03-06T09:04:43Z,815155511,2019-10-03T00:00:00Z,803390291,functional_connectivity,137,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,TRUE,FALSE
835479236,2019-03-11T20:46:56Z,822365853,2019-10-03T00:00:00Z,813701562,functional_connectivity,121,M,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,TRUE,TRUE
839068429,2019-03-19T19:48:05Z,826816430,2019-10-03T00:00:00Z,817060751,functional_connectivity,129,F,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,TRUE,TRUE
839557629,2019-03-21T11:20:58Z,830519422,2019-10-03T00:00:00Z,821469666,functional_connectivity,115,M,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,TRUE,FALSE
840012044,2019-03-21T23:34:26Z,830518709,2019-10-03T00:00:00Z,820866121,functional_connectivity,116,M,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,TRUE,FALSE
847657808,2019-04-08T19:30:50Z,836962226,2019-10-03T00:00:00Z,827809884,functional_connectivity,126,F,wt/wt,TRUE,TRUE
